character.names.wikipedia,identifier
ADRACK HUMBLE,1
AEMON,2
AERON GREYJOY,3
AERYS TARGARYEN,4
AGGO,5
ALLISER THORNE,6
ALTON LANNISTER,7
ALYS KARSTARK,8
AMORY LORCH,9
ANGUY,10
ANYA WAYNWOOD,11
AREO HOTAH,12
ARMECA,13
ARTHUR,14
ARTHUR DAYNE,15
ARYA STARK,16
AXELL FLORENT,17
BALON GREYJOY,18
BARRA,19
BARRISTAN SELMY,20
BELICHO PAENYMION,21
BENJEN STARK,22
BERIC DONDARRION,23
BIANCA,24
BITER,25
BLACK WALDER RIVERS,26
BOBONO,27
BORBA,28
BOWEN MARSH,29
BRAN STARK,30
BRIENNE OF TARTH,31
BRONN,32
BROTHER RAY,33
BRYNDEN TULLY,34
CALEOTTE,35
CAMELLO,36
CATELYN STARK,37
CATSPAW ASSASSIN,38
CERSEI LANNISTER,39
CLARENZO,40
CLEY CERWYN,41
COOPER,42
CRASTER,43
CRESSEN,44
DAARIO NAHARIS,45
DAENERYS TARGARYEN,46
DAGMER CLEFTJAW,47
DAISY,48
DAVOS SEAWORTH,49
DENYS MALLISTER,50
DICKON TARLY,51
DIM DALBA,52
DONGO,53
DONGO THE DOMMED,54
DONNEL HILL,55
DONNEL WAYNWOOD,56
DONTOS HOLLARD,57
DORAN MARTELL,58
DOREAH,59
DRENNAN,60
EATON,61
EBROSE,62
EDDARD STARK,63
EDDISON TOLLETT,64
EDMURE TULLY,65
ELLARIA SAND,66
EURON GREYJOY,67
FARLEN,68
FENNESZ,69
FRANCES,70
GARED,71
GATINS,72
GENDRY,73
GEROLD HIGHTOWER,74
GHITA,75
GILLY,76
GREATJON UMBER,77
GREGOR CLEGANE,78
GREIZHEN MO ULLHOR,79
GRENN,80
GREY WIND,81
GREY WORM,82
GRIEZHEN MO ULLHOR,83
GUYMON,84
HALLYNE,85
HARALD KARSTARK,86
HARKER,87
HARRAG,88
HEWARD,89
HIGH PRIESTESS OF DOSH KHALEEN,90
HIGH SEPTON,91
HIGH SEPTON MAYNARD,92
HIGH SPARROW,93
HIZDAHR ZO LORAQ,94
HODOR,95
HOSTER TULLY,96
HOT PIE,97
HOWLAND REED,98
HUGH,99
IGGO,100
ILLYRIO MOPATIS,101
ILYN PAYNE,102
IRRI,103
IZEMBARO,104
JACK BULWER,105
JACKS,106
JAFER FLOWERS,107
JAIME LANNISTER,108
JANOS SLYNT,109
JAQEN H'GHAR,110
JEOR MORMONT,111
JOFFREY BARATHEON,112
JOHNNA,113
JOJEN REED,114
JON ARRYN,115
JON SNOW,116
JORAH MORMONT,117
JORY CASSEL,118
JOYEUSE ERENFORD,119
KARL TANNER,120
KARSI,121
KAYLA,122
KEGS,123
KEVAN LANNISTER,124
KHAL BROZHO,125
KHAL DROGO,126
KHAL FORZHO,127
KHAL MORO,128
KHAL QORRO,129
KHAL RHALKO,130
KINVARA,131
KITTY FREY,132
KOVARRO,133
KRAZNYS MO NAKLOZ,134
KURLEKET,135
LADY CRANE,136
LANCEL LANNISTER,137
LEAF,138
LEM LEMONCLOAK,139
LHARA,140
LITTLE SAM,141
LOBODA,142
LOCKE,143
LOLLYS STOKEWORTH,144
LOMMY GREENHANDS,145
LORAS TYRELL,146
LORD OF BONES,147
LORREN,148
LOTHAR FREY,149
LOWELL,150
LUWIN,151
LYANNA MORMONT,152
LYANNA STARK,153
LYSA ARRYN,154
MACE TYRELL,155
MAG MAR TUN DOH WEG,156
MAGGY FROG,157
MAGO,158
MALKO,159
MANCE RAYDER,160
MANDON MOORE,161
MAREI,162
MARGAERY TYRELL,163
MARILLION,164
MARTYN LANNISTER,165
MARWYN,166
MATTHOS SEAWORTH,167
MEERA REED,168
MELARA HETHERSPOON,169
MELESSA TARLY,170
MELISANDRE,171
MERO,172
MERYN TRANT,173
MHAEGEN,174
MIRRI MAZ DUUR,175
MISSANDEI,176
MORAG,177
MORGAN,178
MOSSADOR,179
MULLY,180
MYCAH,181
MYRANDA,182
MYRCELLA BARATHEON,183
NED UMBER,184
NIGHT KING,185
NYMERIA SAND,186
OBARA SAND,187
OBERYN MARTELL,188
OLD NAN,189
OLENNA TYRELL,190
OLLY,191
OLLY'S MOTHER,192
OLYVAR,193
ORELL,194
ORNELLA,195
OSHA,196
OTHELL YARWYCK,197
OZNAK ZO PAHL,198
PETYR BAELISH,199
PODRICK PAYNE,200
POLLIVER,201
PORTAN,202
PRENDAHL NA GHEZN,203
PYAT PREE,204
PYCELLE,205
PYPAR,206
QHONO,207
QHORIN HALFHAND,208
QOTHO,209
QUAITHE,210
QUENT,211
QYBURN,212
RAKHARO,213
RALF KENNING,214
RAMSAY BOLTON,215
RANDYLL TARLY,216
RAST,217
RAY,218
RAZDAL MO ERAZ,219
RENLY BARATHEON,220
RENNICK,221
RHAEGAR TARGARYEN,222
RICKARD KARSTARK,223
RICKARD STARK,224
RICKON STARK,225
ROBAR ROYCE,226
ROBB STARK,227
ROBERT BARATHEON,228
ROBETT GLOVER,229
ROBIN ARRYN,230
RODRIK CASSEL,231
ROOSE BOLTON,232
RORGE,233
ROS,234
ROSLIN TULLY,235
SALLADHOR SAAN,236
SALLY,237
SAMWELL TARLY,238
SANDOR CLEGANE,239
SANSA STARK,240
SELYSE BARATHEON,241
SELYSE FLORENT,242
SEPTA MORDANE,243
SEPTA UNELLA,244
SHAE,245
SHAGGA,246
SHAGGYDOG,247
SHIREEN BARATHEON,248
SILK KING,249
SISSY,250
SMALLJON UMBER,251
SMITTY,252
SPICE KING,253
STANNIS BARATHEON,254
STEELSHANKS WALTON,255
STIV,256
STONESNAKE,257
STYR,258
SUMMER,259
SYRIO FOREL,260
TALISA MAEGYR,261
TALISA STARK,262
TALLA TARLY,263
TANSY,264
TERNESIO TERYS,265
THENN WARG,266
THEON GREYJOY,267
THIN MAN,268
THOROS OF MYR,269
THREE-EYED RAVEN,270
TICKLER,271
TOBHO MOTT,272
TODDER,273
TOM,274
TOMMEN BARATHEON,275
TORMUND GIANTSBANE,276
TORRHEN KARSTARK,277
TRYSTANE MARTELL,278
TYCHO NESTORIS,279
TYENE SAND,280
TYRION LANNISTER,281
TYWIN LANNISTER,282
VALA,283
VANCE CORBRAY,284
VARDIS EGEN,285
VARLY,286
VARYS,287
VAYON POOLE,288
VISERION,289
VISERYS TARGARYEN,290
WAIF,291
WALDA BOLTON,292
WALDER FREY,293
WALLEN,294
WAYMAR ROYCE,295
WENDEL MANDERLY,296
WHITE RAT,297
WILL,298
WILLEM LANNISTER,299
WILLIS WODE,300
WOLKAN,301
WUN WEG WUN DAR WUN,302
WYL,303
WYMAN MANDERLY,304
XARO XHOAN DAXOS,305
YARA GREYJOY,306
YEZZAN ZO QAGGAZ,307
YGRITTE,308
YOHN ROYCE,309
YOREN,310
ZANRUSH,311
